county,交易年月,median_price
臺北市,2012-07-15,512063.46
臺北市,2012-08-15,526889.98
臺北市,2012-09-15,531623.88
臺北市,2012-10-15,524273.43
臺北市,2012-11-15,512934.54
臺北市,2012-12-15,509777.5
臺北市,2013-01-15,543790.88
臺北市,2013-02-15,532286.69
臺北市,2013-03-15,550733.06
臺北市,2013-04-15,557265.32
臺北市,2013-05-15,555974.4
臺北市,2013-06-15,550114.87
臺北市,2013-07-15,564762.87
臺北市,2013-08-15,559288.47
臺北市,2013-09-15,544025.59
臺北市,2013-10-15,558597.56
臺北市,2013-11-15,567807.51
臺北市,2013-12-15,553610.76
臺北市,2014-01-15,575027.38
臺北市,2014-02-15,579543.1
臺北市,2014-03-15,572597.62
臺北市,2014-04-15,580062.11
臺北市,2014-05-15,587005.95
臺北市,2014-06-15,571949.68
臺北市,2014-07-15,568938.1
臺北市,2014-08-15,563258.73
臺北市,2014-09-15,556496.72
臺北市,2014-10-15,574197.63
臺北市,2014-11-15,577447.23
臺北市,2014-12-15,530475.11
臺北市,2015-01-15,576946.4
臺北市,2015-02-15,581632.37
臺北市,2015-03-15,564556.26
臺北市,2015-04-15,568367.85
臺北市,2015-05-15,569273.64
臺北市,2015-06-15,557952.93
臺北市,2015-07-15,544288.4
臺北市,2015-08-15,533255.29
臺北市,2015-09-15,541614.01
臺北市,2015-10-15,516531.25
臺北市,2015-11-15,515741.16
臺北市,2015-12-15,521913.09
臺北市,2016-01-15,541933.02
臺北市,2016-02-15,527303.2
臺北市,2016-03-15,525731.29
臺北市,2016-04-15,538645.4
臺北市,2016-05-15,538989.2
臺北市,2016-06-15,531048.67
新北市,2012-07-15,232480.39
新北市,2012-08-15,252267.25
新北市,2012-09-15,252549.9
新北市,2012-10-15,257144.96
新北市,2012-11-15,256027.6
新北市,2012-12-15,261850.77
新北市,2013-01-15,266001.2
新北市,2013-02-15,266619.38
新北市,2013-03-15,272475.6
新北市,2013-04-15,277652.49
新北市,2013-05-15,278751.67
新北市,2013-06-15,281670.69
新北市,2013-07-15,285926.91
新北市,2013-08-15,285832.69
新北市,2013-09-15,291548.42
新北市,2013-10-15,294240.99
新北市,2013-11-15,292915.36
新北市,2013-12-15,292745.12
新北市,2014-01-15,296771.58
新北市,2014-02-15,298674.07
新北市,2014-03-15,309416.27
新北市,2014-04-15,302979.88
新北市,2014-05-15,306282.37
新北市,2014-06-15,299855.89
新北市,2014-07-15,305525.34
新北市,2014-08-15,310695.61
新北市,2014-09-15,306712.12
新北市,2014-10-15,300550.11
新北市,2014-11-15,306725.35
新北市,2014-12-15,302960.04
新北市,2015-01-15,305151.79
新北市,2015-02-15,305412.95
新北市,2015-03-15,304624.52
新北市,2015-04-15,305892.29
新北市,2015-05-15,303232.77
新北市,2015-06-15,311194.79
新北市,2015-07-15,295540.17
新北市,2015-08-15,290563.29
新北市,2015-09-15,285110.38
